Ident;Syst;Saison;SystSais;SystCamp;NumSys;Camp;Coup;Date;NomStat;DistEmb;Prof;Transp;SalSfce;TempSfce
1_3_1;G;w;Gw;G3;1;3;1;16/09/2001;Deer Islands;221;6,8;0,25;0;31
1_3_2;G;w;Gw;G3;1;3;2;16/09/2001;Carrol s wharf;218;5,6;0,25;0;31
1_3_3;G;w;Gw;G3;1;3;3;16/09/2001;Milieu Papa Island;209;6,9;0,25;0;32
1_3_4;G;w;Gw;G3;1;3;4;16/09/2001;Bantanta creek;202;6,9;0,07;0;32
1_3_5;G;w;Gw;G3;1;3;5;17/09/2001;Balangar;193;7,9;0,22;0;29,1
1_3_6;G;w;Gw;G3;1;3;6;17/09/2001;Sea horse I. Amont;187;5,2;0,22;0;29,4
1_3_7;G;w;Gw;G3;1;3;7;17/09/2001;Sea horse I. Aval;181;9,7;0,24;0;29,8
1_3_8;G;w;Gw;G3;1;3;8;17/09/2001;Samba;173;7,4;0,17;0;29
1_3_9;G;w;Gw;G3;1;3;9;17/09/2001;Sofanyama;172;12,2;0,2;0;31
1_3_10;G;w;Gw;G3;1;3;10;18/09/2001;Bambali Amont;168;11,2;0,17;0;29,1
1_3_11;G;w;Gw;G3;1;3;11;18/09/2001;Elephant Jassang;165;11,5;0,17;0;29,8
1_3_12;G;w;Gw;G3;1;3;12;18/09/2001;Elephant Pointe;162;8,8;0,17;0;29,9
1_3_13;G;w;Gw;G3;1;3;13;18/09/2001;Elephant Aval;161;12,8;0,17;0;29,3
1_3_14;G;w;Gw;G3;1;3;14;18/09/2001;Tudenda;155;6,3;0,17;0;29,9
1_3_15;G;w;Gw;G3;1;3;15;19/09/2001;Wale;146;6,3;0,2;0;29,3
1_3_16;G;w;Gw;G3;1;3;16;19/09/2001;Sankuia;144;8;0,17;0;29,8
1_3_17;G;w;Gw;G3;1;3;17;19/09/2001;Tambakoto;141;7;0,17;0;29,9
1_3_18;G;w;Gw;G3;1;3;18;19/09/2001;Bambatenda;140;5,6;0,17;0;29,9
1_3_19;G;w;Gw;G3;1;3;19;19/09/2001;Balingo;131;11;0,17;0;31
1_3_20;G;w;Gw;G3;1;3;20;20/09/2001;Devils Point;129;12;0,15;0;29,8
1_3_21;G;w;Gw;G3;1;3;21;20/09/2001;Krule Point;121;5,5;0,12;0;29,2
1_3_22;G;w;Gw;G3;1;3;22;20/09/2001;Kunda;117;6,3;0,12;0;29,3
1_3_23;G;w;Gw;G3;1;3;23;20/09/2001;Bambako;112;9,6;0,12;0;29,6
1_3_24;G;w;Gw;G3;1;3;24;20/09/2001;Katchiang;112;4,1;0,12;0;29,4
1_3_25;G;w;Gw;G3;1;3;25;21/09/2001;Tendaba silos;107;9,7;0,1;0;29
1_3_26;G;w;Gw;G3;1;3;26;21/09/2001;Tendaba;106;3,9;0,09;0;28,9
1_3_27;G;w;Gw;G3;1;3;27;21/09/2001;Mandori Creek;96;7;0,1;0;28,9
1_3_28;G;w;Gw;G3;1;3;28;21/09/2001;Jali Point;91;4,8;0,1;0;29,1
1_3_29;G;w;Gw;G3;1;3;29;21/09/2001;Tankular Amont;84;7,9;0,2;2;29,1
1_3_30;G;w;Gw;G3;1;3;30;22/09/2001;Selekini Point;82;4,6;0,09;1;28,8
1_3_31;G;w;Gw;G3;1;3;31;22/09/2001;Suara Island 2;76;5,9;0,15;0;29,9
1_3_32;G;w;Gw;G3;1;3;32;22/09/2001;Suara Island 1;74;7,1;0,25;0;30,9
1_3_33;G;w;Gw;G3;1;3;33;22/09/2001;Muta Point;69;8,4;0,35;0;31,6
1_3_34;G;w;Gw;G3;1;3;34;22/09/2001;Suara Point;69;4,8;0,55;5;31,3
1_3_35;G;w;Gw;G3;1;3;35;23/09/2001;Tabirere Creek;63;6,3;0,48;7;28,8
1_3_36;G;w;Gw;G3;1;3;36;23/09/2001;Sika;40;5,1;0,47;15;29
1_3_37;G;w;Gw;G3;1;3;37;23/09/2001;Bintang Point;50;8,7;0,72;14;32
1_3_38;G;w;Gw;G3;1;3;38;23/09/2001;Bintang Amont;59;7,2;0,96;16;31
1_3_39;G;w;Gw;G3;1;3;39;24/09/2001;Lamine Point;31;5,1;0,38;18;29,1
1_3_40;G;w;Gw;G3;1;3;40;24/09/2001;Lamine Village;28;8,4;0,79;18;29,4
1_3_41;G;w;Gw;G3;1;3;41;24/09/2001;Maredina bolon;15;3,5;1,5;21;29,9
1_3_42;G;w;Gw;G3;1;3;42;24/09/2001;Dog Island;8;11,2;1,72;23;29,9
1_3_43;G;w;Gw;G3;1;3;43;25/09/2001;Banjul 2;4;12,1;1,82;24;29,2
1_3_44;G;w;Gw;G3;1;3;44;25/09/2001;Chilabong bolon;6;6,4;1,2;25;29
1_5_1;G;d;Gd;G5;1;5;1;15/04/2002;Deer Islands;221;8,3;0,16;1;26,2
1_5_2;G;d;Gd;G5;1;5;2;15/04/2002;Carrol s wharf;218;1,2;0,2;2;27,2
1_5_3;G;d;Gd;G5;1;5;3;15/04/2002;Milieu Papa Island;209;7,4;0,2;2;28,4
1_5_4;G;d;Gd;G5;1;5;4;15/04/2002;Bantanta creek;202;6,9;0,36;1,5;28,4
1_5_5;G;d;Gd;G5;1;5;5;16/04/2002;Balangar;193;8,8;0,61;4;25,9
1_5_6;G;d;Gd;G5;1;5;6;16/04/2002;Sea horse I. Amont;187;7,4;0,72;5;26,3
1_5_7;G;d;Gd;G5;1;5;7;16/04/2002;Sea horse I. Aval;181;6,2;0,68;4;27
1_5_8;G;d;Gd;G5;1;5;8;16/04/2002;Samba;173;6,4;0,75;7;27,4
1_5_9;G;d;Gd;G5;1;5;9;16/04/2002;Sofanyama;172;12,2;0,6;7;26,9
1_5_10;G;d;Gd;G5;1;5;10;17/04/2002;Bambali Amont;168;9;0,42;8;26,2
1_5_11;G;d;Gd;G5;1;5;11;17/04/2002;Elephant Jassang;165;11,6;0,91;8;26,8
1_5_12;G;d;Gd;G5;1;5;12;17/04/2002;Elephant Pointe;162;7,5;0,4;10;27,2
1_5_13;G;d;Gd;G5;1;5;13;17/04/2002;Elephant Aval;161;12,4;0,67;9;27,3
1_5_14;G;d;Gd;G5;1;5;14;17/04/2002;Tudenda;155;6,6;0,94;10;27,5
1_5_15;G;d;Gd;G5;1;5;15;18/04/2002;Wale;146;6,6;1,37;13;26,8
1_5_16;G;d;Gd;G5;1;5;16;18/04/2002;Sankuia;144;9;1,1;13;26,9
1_5_17;G;d;Gd;G5;1;5;17;18/04/2002;Tambakoto;141;6,8;0,17;14;27,3
1_5_18;G;d;Gd;G5;1;5;18;18/04/2002;Bambatenda;140;3;0,93;15;27,7
1_5_19;G;d;Gd;G5;1;5;19;18/04/2002;Balingo;131;9;1,18;14;28,6
1_5_20;G;d;Gd;G5;1;5;20;19/04/2002;Devils Point;129;5,4;1,18;16;26,2
1_5_21;G;d;Gd;G5;1;5;21;19/04/2002;Krule Point;121;4,8;0,88;17;27
1_5_22;G;d;Gd;G5;1;5;22;19/04/2002;Kunda;117;5,5;1,08;18;27,2
1_5_23;G;d;Gd;G5;1;5;23;19/04/2002;Bambako;112;7,7;1,39;19;27,7
1_5_24;G;d;Gd;G5;1;5;24;19/04/2002;Katchiang;112;3,3;1,3;20;28,1
1_5_25;G;d;Gd;G5;1;5;25;20/04/2002;Tendaba silos;107;10,1;1,1;22;26,2
1_5_26;G;d;Gd;G5;1;5;26;20/04/2002;Tendaba;106;2,5;0,9;22;26,2
